구,년도,CCTV수,발생,검거
종로구,2014,296,5021,3428
중구,2014,474,5231,3188
성북구,2014,1037,4606,3028
은평구,2014,1125,5431,3325
관악구,2014,928,6781,3701
서초구,2014,1407,5558,3122
강남구,2014,1325,8851,5262
서대문구,2014,836,4194,2588
용산구,2014,1346,3799,2340
동대문구,2014,1040,4363,2882
마포구,2014,375,5740,3136
영등포구,2014,542,7003,4072
성동구,2014,964,3582,2048
동작구,2014,900,3869,2312
광진구,2014,523,6268,3531
강북구,2014,411,4030,2806
중랑구,2014,552,5353,3259
강서구,2014,437,5289,3225
강동구,2014,529,5392,3285
구로구,2014,454,5389,2985
양천구,2014,1560,4642,2654
송파구,2014,515,8004,3982
노원구,2014,421,5312,3300
도봉구,2014,235,3124,1986
금천구,2014,635,3842,2434
